variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags
sago powder,sago,NULL,powder,base ingredient,NULL,starch flour,thickener,0,0.42,0.12,0,0.6,0.615,0.174,0.426,1,True,False
instant tea,tea,NULL,NULL,flavouring agent,NULL,powder|extract/oleoresin,taste profile / spice,0,0,0.675,0,0.86,0.675,0.27,0.528,1,True,False
vitamin b12,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
amino acids,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
edible bran,rice | wheat | oat,NULL,skim/defatted meal,base ingredient,NULL,NULL,NULL,0,0.55,0.12,0,0.55,0.12,0.213,0.213,1,False,False
citharathai,citharathai,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0,0.42,0.675,0.087,0.396,1,True,False
l-glutamine,synthetic | corn,fermentation,crystalline chemical,base ingredient,NULL,NULL,NULL,0.56,0.98,0.12,0.56,0.98,0.12,0.51,0.51,2,False,False
sadhakuppai,sadhakuppai,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0,0.42,0.675,0.087,0.396,1,True,False
silver leaf,mineral,NULL,flakes,colour,NULL,NULL,NULL,0,0.36,0.8,0,0.36,0.8,0.428,0.428,2,False,False
iodised salt,mineral,NULL,crystalline chemical,base ingredient,?iodization,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,True
iodized salt,mineral,NULL,crystalline chemical,base ingredient,?iodization,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,True
lodised salt,mineral,NULL,crystalline chemical,base ingredient,?iodization,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,True
lodized salt,mineral,NULL,crystalline chemical,base ingredient,?iodization,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,True
carrot puree,carrot,NULL,pulp/puree,base ingredient,NULL,NULL,NULL,0,0.25,0.12,0,0.25,0.12,0.123,0.123,1,False,False
color red 40,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
color blue 1,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
maize starch,corn,NULL,starch flour,base ingredient,NULL,modified starch powder,thickener,0,0.6,0.12,0,0.96,0.615,0.228,0.534,1,True,False
dates powder,dates,drying,powder,sweetener,NULL,NULL,base ingredient,0.42,0.42,0.625,0.42,0.42,0.625,0.502,0.502,2,False,False
fresh garlic,garlic,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
dried garlic,garlic,drying,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False
garlic paste,garlic,NULL,pulp/puree,taste profile / spice,NULL,NULL,flavouring agent,0,0.25,0.18,0,0.25,0.675,0.147,0.345,1,True,False
fresh ginger,ginger,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
dried ginger,ginger,drying,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False
ginger paste,ginger,NULL,pulp/puree,taste profile / spice,NULL,NULL,flavouring agent,0,0.25,0.18,0,0.25,0.675,0.147,0.345,1,True,False
ginger whole,ginger,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
wheat powder,wheat,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
mango solids,mango,NULL,dense block,base ingredient,NULL,NULL,sweetener,0,0.38,0.12,0,0.38,0.625,0.162,0.364,1,True,False
mango powder,mango,drying,powder,sweetener,NULL,NULL,flavouring agent,0.42,0.42,0.625,0.42,0.42,0.675,0.502,0.522,2,False,False
samai flakes,samai,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False
bajra flakes,bajra,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False
bajra powder,bajra,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
whole jawari,sorghum,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
pist extract,pistachio,solvent extraction,extract/oleoresin,flavouring agent,NULL,NULL,lipid base,0.82,0.86,0.675,0.82,0.86,0.675,0.774,0.774,3,False,False
sesame seeds,sesame,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
defatted soy,soybean,NULL,skim/defatted meal,base ingredient,NULL,NULL,NULL,0,0.55,0.12,0,0.55,0.12,0.213,0.213,1,False,False
soyabean oil,soybean,cold pressing|solvent extraction,oil,lipid base,refining,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False
soya protein,soybean,NULL,protein concentrate,base ingredient,NULL,protein isolate,NULL,0,0.74,0.12,0,0.78,0.12,0.27,0.282,1,False,False
added sugars,sugarcane,refining,crystalline chemical,sweetener,NULL,NULL,bulking agent,0.75,0.98,0.625,0.75,0.98,0.625,0.769,0.769,3,False,False
sugar powder,sugarcane,milling|refining,powder,sweetener,NULL,crystalline chemical,bulking agent,0.75,0.42,0.625,0.75,0.98,0.625,0.601,0.769,2,True,False
invert sugar,sugarcane,?inversion,crystalline chemical,sweetener,refining,syrup,humectant,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,True
invert sugar,sugarcane,?inversion,crystalline chemical,sweetener,refining,syrup,humectant,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,True
invert syrup,sugarcane,?inversion,syrup,sweetener,refining,concentrate,humectant,0,0.4,0.625,0.75,0.4,0.625,0.37,0.595,2,False,True
golden syrup,sugarcane,refining,syrup,sweetener,NULL,concentrate,humectant,0.75,0.4,0.625,0.75,0.4,0.625,0.595,0.595,2,False,False
wheat flakes,wheat,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False
malted wheat,wheat,fermentation,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0.56,0,0.12,0.56,0.33,0.12,0.216,0.315,1,True,False
wheat gluten,wheat,NULL,protein concentrate,base ingredient,NULL,protein isolate,NULL,0,0.74,0.12,0,0.78,0.12,0.27,0.282,1,False,False
vital gluten,wheat,NULL,protein concentrate,base ingredient,NULL,protein isolate,NULL,0,0.74,0.12,0,0.78,0.12,0.27,0.282,1,False,False
almond flour,almond,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
almond paste,almond,NULL,pulp/puree,base ingredient,NULL,NULL,NULL,0,0.25,0.12,0,0.25,0.12,0.123,0.123,1,False,False
diphosphates,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,sequestrant,0,0.98,0.86,0,0.98,0.91,0.638,0.658,2,False,False
instant oats,oats,NULL,flakes,base ingredient,NULL,powder,NULL,0,0.36,0.12,0,0.42,0.12,0.156,0.174,1,False,False
curry leaves,curry leaf,NULL,leaf,taste profile / spice,drying,whole/fresh pieces|cut/sliced pieces|powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False
kasuri methi,fenugreek,drying,leaf,taste profile / spice,NULL,whole/fresh pieces|cut/sliced pieces|powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
orange juice,orange,NULL,juice,flavouring agent,NULL,NULL,NULL,0,0.5,0.675,0,0.5,0.675,0.42,0.42,2,False,False
orange peels,orange,NULL,peel,flavouring agent,drying,cut/sliced pieces|powder,taste profile / spice,0,0,0.675,0.42,0.42,0.675,0.27,0.522,1,True,False
fennel seeds,fennel,NULL,whole/fresh pieces,taste profile / spice,drying,NULL,flavouring agent,0,0.05,0.18,0.42,0.05,0.675,0.087,0.411,1,True,False
skimmed milk,milk,skim/defatted meal,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
buffalo milk,buffalo milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False
torula yeast,yeast,NULL,powder,base ingredient,NULL,NULL,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False
whey protein,milk,NULL,protein concentrate,base ingredient,NULL,whey powder,NULL,0,0.74,0.12,0,0.74,0.12,0.27,0.27,1,False,False
acesulfame k,synthetic,NULL,crystalline chemical,sweetener,NULL,NULL,NULL,0,0.98,0.625,0,0.98,0.625,0.544,0.544,2,False,False
carrom seeds,carom,NULL,whole/fresh pieces,taste profile / spice,drying,NULL,flavouring agent,0,0.05,0.18,0.42,0.05,0.675,0.087,0.411,1,True,False
ajwai powder,carom,NULL,powder,taste profile / spice,drying,NULL,flavouring agent,0,0.42,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
talc ins 553,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False
apricot pulp,apricot,NULL,pulp/puree,base ingredient,NULL,NULL,NULL,0,0.25,0.12,0,0.25,0.12,0.123,0.123,1,False,False
coffee beans,coffee,NULL,whole/fresh pieces,flavouring agent,roasting,NULL,taste profile / spice,0,0.05,0.675,0.58,0.05,0.675,0.285,0.459,1,True,False
aronia berry,aronia,NULL,whole/fresh pieces,base ingredient,NULL,juice,antioxidant,0,0.05,0.12,0,0.5,0.875,0.063,0.5,1,True,False
banana juice,banana,NULL,juice,flavouring agent,NULL,NULL,NULL,0,0.5,0.675,0,0.5,0.675,0.42,0.42,2,False,False
banana puree,banana,NULL,pulp/puree,base ingredient,NULL,NULL,NULL,0,0.25,0.12,0,0.25,0.12,0.123,0.123,1,False,False
barley flour,barley,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
tulsi leaves,tulsi,NULL,whole/fresh pieces,flavouring agent,drying,cut/sliced pieces,taste profile / spice,0,0.05,0.675,0.42,0.1,0.675,0.285,0.426,1,True,False
basmati rice,rice,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
french beans,french bean,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
cluster bean,cluster bean,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False
roasted gram,chickpea,roasting,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0.58,0.05,0.12,0.58,0.05,0.12,0.237,0.237,1,False,False
black pepper,black pepper,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
buffalo meat,buffalo,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
white butter,milk,churning,fat fraction,lipid base,NULL,NULL,flavouring agent,0.45,0.72,0.22,0.45,0.72,0.675,0.439,0.621,2,False,False
butter cream,milk,churning,fat fraction,lipid base,NULL,NULL,flavouring agent,0.45,0.72,0.22,0.45,0.72,0.675,0.439,0.621,2,False,False
beurre fondu,milk,churning|clarification,fat fraction,lipid base,NULL,NULL,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False
malt extract,barley,solvent extraction,extract/oleoresin,sweetener,NULL,concentrate,flavouring agent,0.82,0.86,0.625,0.82,0.86,0.675,0.754,0.774,3,False,False
paneer dices,milk,fermentation,dense block,base ingredient,NULL,cut/sliced pieces,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
chicken bits,chicken,NULL,cut/sliced pieces,base ingredient,NULL,NULL,NULL,0,0.1,0.12,0,0.1,0.12,0.078,0.078,1,False,False
chicken meat,chicken,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
chicory root,chicory,NULL,whole/fresh pieces,base ingredient,drying,cut/sliced pieces|powder,taste profile / spice,0,0.05,0.12,0.42,0.42,0.18,0.063,0.324,1,True,False
chili powder,chili,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
green chilli,chili,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces,flavouring agent,0,0.05,0.18,0.42,0.1,0.675,0.087,0.426,1,True,False
green chilly,chili,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces,flavouring agent,0,0.05,0.18,0.42,0.1,0.675,0.087,0.426,1,True,False
red chillies,chili,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0.42,0.05,0.18,0.42,0.1,0.675,0.213,0.426,1,True,False
chili powder,chili,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
white chilli,chili,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False
clove powder,clove,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
cloves whole,clove,drying,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.05,0.18,0.42,0.05,0.675,0.213,0.411,1,True,False
whole cloves,clove,drying,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.05,0.18,0.42,0.05,0.675,0.213,0.411,1,True,False
cocoa powder,cocoa,NULL,powder,flavouring agent,NULL,NULL,colour,0,0.42,0.675,0,0.42,0.8,0.396,0.446,2,False,False
cocoa solids,cocoa,NULL,NULL,flavouring agent,NULL,NULL,NULL,0,0,0.675,0,0,0.675,0.27,0.27,1,False,False
cocoa butter,cocoa,NULL,fat fraction,lipid base,NULL,NULL,flavouring agent,0,0.72,0.22,0,0.72,0.675,0.304,0.486,2,False,False
cumin powder,cumin,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
jeera powder,cumin,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
ground cumin,cumin,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
cuminextract,cumin,solvent extraction,extract/oleoresin,taste profile / spice,NULL,NULL,flavouring agent,0.82,0.86,0.18,0.82,0.86,0.675,0.576,0.774,2,True,False
electrolytes,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
carnauba wax,carnauba palm,NULL,wax,glazing agent,NULL,NULL,anticaking agent,0,0,0,0,0,0.85,0,0.34,1,True,False
kalonji seed,kalonji,NULL,whole/fresh pieces,taste profile / spice,drying,NULL,flavouring agent,0,0.05,0.18,0.42,0.05,0.675,0.087,0.411,1,True,False
soy lecithin,soybean | sunflower,solvent extraction,emulsifier,emulsifier,NULL,NULL,NULL,0.82,0.89,0.825,0.82,0.89,0.825,0.843,0.843,3,False,False
lemon powder,lemon,drying,powder,flavouring agent,NULL,NULL,acidity regulator,0.42,0.42,0.675,0.42,0.42,0.86,0.522,0.596,2,False,False
maltodextrin,corn | tapioca,?hydrolysis,modified starch powder,bulking agent,?spray drying,powder,thickener|sweetener,0.6,0.96,0.375,0.6,0.96,0.625,0.618,0.718,2,True,True
milk protein,milk,NULL,protein concentrate,base ingredient,NULL,protein isolate,NULL,0,0.74,0.12,0,0.78,0.12,0.27,0.282,1,False,False
nicotinamide,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
onion powder,onion,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
onion flakes,onion,drying,flakes,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0.42,0.36,0.18,0.42,0.36,0.675,0.306,0.504,2,False,False
spring onion,spring onion,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces,flavouring agent,0,0.05,0.18,0.42,0.1,0.675,0.087,0.426,1,True,False
papaya puree,papaya,NULL,pulp/puree,base ingredient,NULL,NULL,NULL,0,0.25,0.12,0,0.25,0.12,0.123,0.123,1,False,False
rapeseed oil,rapeseed,NULL,oil,lipid base,cold pressing|solvent extraction|refining,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
basmati rice,rice,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
malt extract,barley,solvent extraction,extract/oleoresin,sweetener,NULL,NULL,flavouring agent,0.82,0.86,0.625,0.82,0.86,0.675,0.754,0.774,3,False,False
roasted poha,rice,roasting,flakes,base ingredient,NULL,NULL,NULL,0.58,0.36,0.12,0.58,0.36,0.12,0.33,0.33,2,False,False
maltodextrin,corn | tapioca,NULL,powder,bulking agent,?hydrolysis,NULL,thickener,0,0.42,0.375,0.6,0.42,0.615,0.276,0.552,1,True,True
stearic acid,palm | soybean,NULL,crystalline chemical,emulsifier,NULL,NULL,NULL,0,0.98,0.825,0,0.98,0.825,0.624,0.624,2,False,False
tangy tomato,tomato,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
tomato paste,tomato,NULL,pulp/puree,base ingredient,NULL,concentrate,NULL,0,0.25,0.12,0,0.4,0.12,0.123,0.168,1,False,False
white pepper,pepper,NULL,NULL,taste profile / spice,drying,powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False
whole grains,wheat | rice | corn,NULL,whole/fresh pieces,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0.05,0.12,0.28,0.33,0.12,0.063,0.231,1,False,False
athimathuram,licorice,NULL,whole/fresh pieces,taste profile / spice,NULL,powder|extract/oleoresin,flavouring agent,0,0.05,0.18,0,0.86,0.675,0.087,0.528,1,True,False
berries pulp,berry,NULL,pulp/puree,base ingredient,NULL,NULL,NULL,0,0.25,0.12,0,0.25,0.12,0.123,0.123,1,False,False
bhut jolokia,bhut jolokia,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
fish gelatin,fish,NULL,protein isolate,gelling agent,NULL,NULL,thickener,0,0.78,0.675,0,0.78,0.675,0.504,0.504,2,False,False
calcium salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,firming agent,0,0.98,0.12,0,0.98,0.45,0.342,0.474,2,False,False
green chives,chives,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
citrus fiber,citrus,NULL,powder,bulking agent,NULL,NULL,thickener,0,0.42,0.375,0,0.42,0.615,0.276,0.372,1,True,False
citrus fibre,citrus,NULL,powder,bulking agent,NULL,NULL,thickener,0,0.42,0.375,0,0.42,0.615,0.276,0.372,1,True,False
sweet potato,sweet potato,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,sweetener,0,0.05,0.12,0,0.1,0.625,0.063,0.28,1,False,False
ferrous salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
fumaric acid,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
lutein color,marigold,solvent extraction,extract/oleoresin,colour,NULL,NULL,NULL,0.82,0.86,0.8,0.82,0.86,0.8,0.824,0.824,3,False,False
l-lysine hcl,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
methocel k4m,synthetic,NULL,powder,thickener,NULL,NULL,stabiliser,0,0.42,0.615,0,0.42,0.65,0.372,0.386,2,False,False
nata de coco,coconut,fermentation,dense block,gelling agent,NULL,NULL,base ingredient,0.56,0.38,0.675,0.56,0.38,0.675,0.552,0.552,2,False,False
palm stearin,palm,fractionation,fat fraction,lipid base,NULL,NULL,NULL,0.76,0.72,0.22,0.76,0.72,0.22,0.532,0.532,2,False,False
stone flower,lichen,drying,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False
palmolein oil,palm,fractionation,oil,lipid base,refining,NULL,NULL,0.76,0.7,0.22,0.76,0.7,0.22,0.526,0.526,2,False,False
palmolien oil,palm,fractionation,oil,lipid base,refining,NULL,NULL,0.76,0.7,0.22,0.76,0.7,0.22,0.526,0.526,2,False,False
vegetable fat,palm | soybean | groundnut,NULL,fat fraction,lipid base,cold pressing|refining|solvent extraction|hydrogenation|interesterification,NULL,NULL,0,0.72,0.22,0.92,0.72,0.22,0.304,0.58,2,False,False
vegetable oil,palm | soybean | sunflower | groundnut,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
sauncharnamak,mineral,NULL,crystalline chemical,taste profile / spice,NULL,NULL,flavouring agent,0,0.98,0.18,0,0.98,0.675,0.366,0.564,2,False,False
carrot powder,carrot,drying,powder,colour,NULL,NULL,base ingredient,0.42,0.42,0.8,0.42,0.42,0.8,0.572,0.572,2,False,False
carrot flakes,carrot,drying,flakes,colour,NULL,NULL,base ingredient,0.42,0.36,0.8,0.42,0.36,0.8,0.554,0.554,2,False,False
cashew pieces,cashew,cut/sliced pieces,cut/sliced pieces,base ingredient,roasting,NULL,NULL,0,0.1,0.12,0.58,0.1,0.12,0.078,0.252,1,False,False
whole cashews,cashew,NULL,whole/fresh pieces,base ingredient,roasting,NULL,NULL,0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False
color ins 102,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
yellow 5 lake,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
color ins 110,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
yellow 6 lake,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
caramel color,sugarcane,NULL,NULL,colour,refining,NULL,NULL,0,0,0.8,0.75,0,0.8,0.32,0.545,2,False,False
color annatto,annatto,solvent extraction,extract/oleoresin,colour,NULL,NULL,NULL,0.82,0.86,0.8,0.82,0.86,0.8,0.824,0.824,3,False,False
color ins 100,turmeric,solvent extraction,extract/oleoresin,colour,NULL,powder,NULL,0.82,0.86,0.8,0.82,0.86,0.8,0.824,0.824,3,False,False
color ins 162,beetroot,NULL,extract/oleoresin,colour,NULL,powder,NULL,0,0.86,0.8,0,0.86,0.8,0.578,0.578,2,False,False
color ins 163,grape | berry,NULL,extract/oleoresin,colour,NULL,powder,NULL,0,0.86,0.8,0,0.86,0.8,0.578,0.578,2,False,False
color ins 171,mineral,NULL,crystalline chemical,colour,NULL,NULL,anticaking agent,0,0.98,0.8,0,0.98,0.85,0.614,0.634,2,False,False
color ins 141,spinach | spirulina,NULL,extract/oleoresin,colour,NULL,powder,NULL,0,0.86,0.8,0,0.86,0.8,0.578,0.578,2,False,False
color ins 160,annatto | carrot,solvent extraction,extract/oleoresin,colour,NULL,powder,NULL,0.82,0.86,0.8,0.82,0.86,0.8,0.824,0.824,3,False,False
beta-carotene,carrot,solvent extraction,extract/oleoresin,colour,NULL,NULL,antioxidant,0.82,0.86,0.8,0.82,0.86,0.875,0.824,0.854,3,False,False
color ins 129,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
color ins 133,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
color ins 132,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
color ins 127,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
color ins 124,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
color ins 122,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False
color ins 101,riboflavin,NULL,NULL,colour,NULL,powder,NULL,0,0,0.8,0,0.42,0.8,0.32,0.446,2,False,False
garlic powder,garlic,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
ginger powder,ginger,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
glucose syrup,corn | tapioca,NULL,syrup,sweetener,?hydrolysis,NULL,bulking agent,0,0.4,0.625,0.6,0.4,0.625,0.37,0.55,2,False,True
maltose syrup,corn | rice,NULL,syrup,sweetener,?hydrolysis,NULL,bulking agent,0,0.4,0.625,0.6,0.4,0.625,0.37,0.55,2,False,True
refined flour,wheat,milling|refining,flour/fine powder,base ingredient,NULL,NULL,NULL,0.75,0.33,0.12,0.75,0.33,0.12,0.372,0.372,2,False,False
amchur powder,mango,drying,powder,taste profile / spice,NULL,NULL,acidity regulator,0.42,0.42,0.18,0.42,0.42,0.86,0.324,0.596,2,False,False
millet flakes,millet,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False
little millet,millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
finger millet,millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
rice bran oil,rice,solvent extraction,oil,lipid base,cold pressing|refining,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False
