variant,source,variant_signal_class,class_count,noise_or_signal
bishop seed,carom,"form_signal, grade_signal",2,signal
apple juice,apple,"canonical_form, form_signal",2,signal
green apple,apple,"redundant_variant, canonical_form, grade_signal",3,mixed
ashwagandha,ashwagandha,canonical_form,1,signal
banana pulp,banana,"canonical_form, grade_signal",2,signal
cassia leaf,cassia,"canonical_form, form_signal, grade_signal",3,signal
french bean,french bean,"orthographic_noise, canonical_form, grade_signal",3,mixed
bengal gram,chickpea,grade_signal,1,signal
split grams,chickpea,"orthographic_noise, grade_signal",2,mixed
gram pulses,chickpea,orthographic_noise,1,noise
black cumin,black cumin,"canonical_form, grade_signal",2,signal
blueberries,blueberry,canonical_form,1,signal
buffalo fat,buffalo milk,"form_signal, grade_signal",2,signal
chicken fat,chicken,"orthographic_noise, canonical_form, form_signal",3,mixed
green chili,chili,"orthographic_noise, canonical_form, grade_signal",3,mixed
coco powder,cocoa,"orthographic_noise, linguistic_signal, form_signal",3,mixed
coconut fat,coconut,"canonical_form, form_signal",2,signal
coconut oil,coconut,"canonical_form, form_signal",2,signal
cranberries,cranberry,canonical_form,1,signal
cumin seeds,cumin,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
cumin whole,cumin,"canonical_form, grade_signal",2,signal
jeera seeds,cumin,"transliteration_signal, form_signal, grade_signal",3,signal
emulsifiers,palm | soybean | sunflower,"orthographic_noise, canonical_form, multi_source",3,mixed
grape juice,grape,"canonical_form, form_signal",2,signal
green apple,apple,"redundant_variant, canonical_form, grade_signal",3,mixed
moong beans,mung bean,"orthographic_noise, transliteration_signal, form_signal",3,mixed
guava juice,guava,"canonical_form, form_signal",2,signal
guava puree,guava,"linguistic_signal, canonical_form, form_signal",3,signal
lemon juice,lemon,"canonical_form, form_signal",2,signal
red lentils,lentil,grade_signal,1,signal
litchi pulp,litchi,"canonical_form, grade_signal",2,signal
long pepper,long pepper,canonical_form,1,signal
lotus seeds,lotus,"transliteration_signal, canonical_form, form_signal, grade_signal",4,signal
mace powder,mace,"canonical_form, form_signal",2,signal
mustard oil,mustard seed,form_signal,1,signal
nucleotides,yeast,canonical_form,1,signal
fried onion,onion,"canonical_form, process_signal",2,signal
white onion,onion,"canonical_form, grade_signal",2,signal
papaya pulp,papaya,"canonical_form, grade_signal",2,signal
pea protein,pea,"canonical_form, form_signal",2,signal
peach juice,peach,"canonical_form, form_signal",2,signal
pomegranate,pomegranate,canonical_form,1,signal
potato flex,potato,canonical_form,1,signal
raspberries,raspberry,canonical_form,1,signal
resveratrol,grape,canonical_form,1,signal
rice powder,rice,"canonical_form, form_signal",2,signal
rice flakes,rice,"canonical_form, form_signal",2,signal
puffed rice,rice,"canonical_form, process_signal, grade_signal",3,signal
sago powder,sago,"transliteration_signal, canonical_form, form_signal",3,signal
instant tea,tea,"canonical_form, process_signal",2,signal
edible bran,rice | wheat | oat,"form_signal, grade_signal, multi_source",3,signal
citharathai,citharathai,canonical_form,1,signal
sadhakuppai,sadhakuppai,canonical_form,1,signal
iodised salt,mineral,"orthographic_noise, form_signal, grade_signal, fortification_signal",4,mixed
iodized salt,mineral,"orthographic_noise, form_signal, grade_signal, fortification_signal",4,mixed
lodised salt,mineral,"orthographic_noise, form_signal",2,mixed
lodized salt,mineral,"orthographic_noise, form_signal",2,mixed
carrot puree,carrot,"linguistic_signal, canonical_form, form_signal",3,signal
maize starch,corn,form_signal,1,signal
dates powder,dates,"canonical_form, form_signal",2,signal
fresh garlic,garlic,"canonical_form, grade_signal",2,signal
dried garlic,garlic,"canonical_form, process_signal",2,signal
garlic paste,garlic,"canonical_form, form_signal",2,signal
fresh ginger,ginger,"canonical_form, grade_signal",2,signal
dried ginger,ginger,"canonical_form, process_signal",2,signal
ginger paste,ginger,"canonical_form, form_signal",2,signal
ginger whole,ginger,"canonical_form, grade_signal",2,signal
wheat powder,wheat,"canonical_form, form_signal",2,signal
mango solids,mango,"canonical_form, form_signal",2,signal
mango powder,mango,"canonical_form, form_signal",2,signal
samai flakes,samai,"canonical_form, form_signal",2,signal
bajra flakes,bajra,"transliteration_signal, canonical_form, form_signal",3,signal
bajra powder,bajra,"transliteration_signal, canonical_form, form_signal",3,signal
whole jawari,sorghum,grade_signal,1,signal
pist extract,pistachio,form_signal,1,signal
sesame seeds,sesame,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
defatted soy,soybean,"orthographic_noise, process_signal",2,mixed
soyabean oil,soybean,"orthographic_noise, form_signal",2,mixed
soya protein,soybean,form_signal,1,signal
added sugars,sugarcane,orthographic_noise,1,noise
sugar powder,sugarcane,form_signal,1,signal
invert sugar,sugarcane,"redundant_variant, form_signal",2,mixed
invert sugar,sugarcane,"redundant_variant, form_signal",2,mixed
invert syrup,sugarcane,form_signal,1,signal
golden syrup,sugarcane,form_signal,1,signal
wheat flakes,wheat,"canonical_form, form_signal",2,signal
malted wheat,wheat,"canonical_form, process_signal",2,signal
wheat gluten,wheat,"canonical_form, form_signal",2,signal
vital gluten,wheat,"form_signal, grade_signal",2,signal
almond flour,almond,"canonical_form, form_signal, grade_signal",3,signal
almond paste,almond,"canonical_form, form_signal, grade_signal",3,signal
instant oats,oats,"canonical_form, process_signal",2,signal
curry leaves,curry leaf,"form_signal, grade_signal",2,signal
kasuri methi,fenugreek,transliteration_signal,1,signal
orange juice,orange,"canonical_form, form_signal",2,signal
orange peels,orange,"canonical_form, form_signal",2,signal
fennel seeds,fennel,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
skimmed milk,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
buffalo milk,buffalo milk,"canonical_form, form_signal, grade_signal",3,signal
torula yeast,yeast,"canonical_form, grade_signal",2,signal
whey protein,milk,"orthographic_noise, form_signal",2,mixed
acesulfame k,synthetic,canonical_form,1,signal
carrom seeds,carom,"orthographic_noise, form_signal, grade_signal",3,mixed
ajwai powder,carom,form_signal,1,signal
apricot pulp,apricot,"canonical_form, grade_signal",2,signal
coffee beans,coffee,"canonical_form, form_signal",2,signal
aronia berry,aronia,"canonical_form, grade_signal",2,signal
banana juice,banana,"canonical_form, form_signal",2,signal
banana puree,banana,"linguistic_signal, canonical_form, form_signal",3,signal
barley flour,barley,"canonical_form, form_signal",2,signal
tulsi leaves,tulsi,"transliteration_signal, canonical_form, form_signal, grade_signal",4,signal
basmati rice,rice,"redundant_variant, canonical_form",2,mixed
french beans,french bean,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
cluster bean,cluster bean,canonical_form,1,signal
roasted gram,chickpea,process_signal,1,signal
black pepper,black pepper,"canonical_form, grade_signal",2,signal
buffalo meat,buffalo,"canonical_form, grade_signal",2,signal
white butter,milk,"form_signal, grade_signal",2,signal
butter cream,milk,form_signal,1,signal
beurre fondu,milk,linguistic_signal,1,signal
malt extract,barley,"redundant_variant, form_signal",2,mixed
paneer dices,milk,"transliteration_signal, form_signal",2,signal
chicken bits,chicken,"canonical_form, grade_signal",2,signal
chicken meat,chicken,"orthographic_noise, canonical_form",2,mixed
chicory root,chicory,"canonical_form, form_signal",2,signal
chili powder,chili,"redundant_variant, canonical_form, form_signal",3,mixed
green chilli,chili,"orthographic_noise, grade_signal",2,mixed
green chilly,chili,"orthographic_noise, grade_signal",2,mixed
red chillies,chili,grade_signal,1,signal
chili powder,chili,"redundant_variant, canonical_form, form_signal",3,mixed
white chilli,chili,grade_signal,1,signal
clove powder,clove,"orthographic_noise, canonical_form, form_signal",3,mixed
cloves whole,clove,grade_signal,1,signal
whole cloves,clove,grade_signal,1,signal
cocoa powder,cocoa,"orthographic_noise, canonical_form, form_signal",3,mixed
cocoa solids,cocoa,"canonical_form, form_signal",2,signal
cocoa butter,cocoa,"canonical_form, form_signal",2,signal
cumin powder,cumin,"canonical_form, form_signal",2,signal
jeera powder,cumin,"transliteration_signal, form_signal",2,signal
ground cumin,cumin,"canonical_form, process_signal, grade_signal",3,signal
cuminextract,cumin,"orthographic_noise, canonical_form",2,mixed
kalonji seed,kalonji,"transliteration_signal, canonical_form, form_signal, grade_signal",4,signal
lemon powder,lemon,"canonical_form, form_signal",2,signal
maltodextrin,corn | tapioca,"redundant_variant, canonical_form, multi_source",3,mixed
milk protein,milk,"canonical_form, form_signal",2,signal
onion powder,onion,"canonical_form, form_signal",2,signal
onion flakes,onion,"canonical_form, form_signal",2,signal
spring onion,spring onion,canonical_form,1,signal
papaya puree,papaya,"linguistic_signal, canonical_form, form_signal",3,signal
rapeseed oil,rapeseed,"canonical_form, form_signal",2,signal
basmati rice,rice,"redundant_variant, canonical_form",2,mixed
malt extract,barley,"redundant_variant, form_signal",2,mixed
roasted poha,rice,"transliteration_signal, process_signal",2,signal
maltodextrin,corn | tapioca,"redundant_variant, canonical_form, multi_source",3,mixed
stearic acid,palm | soybean,multi_source,1,signal
tangy tomato,tomato,"canonical_form, grade_signal",2,signal
tomato paste,tomato,"canonical_form, form_signal",2,signal
white pepper,pepper,"canonical_form, grade_signal",2,signal
whole grains,wheat | rice | corn,"form_signal, grade_signal, multi_source",3,signal
athimathuram,licorice,transliteration_signal,1,signal
berries pulp,berry,grade_signal,1,signal
bhut jolokia,bhut jolokia,canonical_form,1,signal
fish gelatin,fish,"canonical_form, form_signal",2,signal
green chives,chives,"canonical_form, grade_signal",2,signal
citrus fiber,citrus,"orthographic_noise, canonical_form, form_signal",3,mixed
citrus fibre,citrus,"orthographic_noise, canonical_form, form_signal",3,mixed
sweet potato,sweet potato,"canonical_form, grade_signal",2,signal
methocel k4m,synthetic,unclassified,1,unclassified
nata de coco,coconut,linguistic_signal,1,signal
palm stearin,palm,"canonical_form, form_signal",2,signal
stone flower,lichen,grade_signal,1,signal
palmolein oil,palm,"orthographic_noise, form_signal",2,mixed
palmolien oil,palm,"orthographic_noise, form_signal",2,mixed
vegetable fat,palm | soybean | groundnut,"orthographic_noise, form_signal, multi_source",3,mixed
vegetable oil,palm | soybean | sunflower | groundnut,"orthographic_noise, form_signal, multi_source",3,mixed
sauncharnamak,mineral,transliteration_signal,1,signal
carrot powder,carrot,"canonical_form, form_signal",2,signal
carrot flakes,carrot,"canonical_form, form_signal",2,signal
cashew pieces,cashew,"canonical_form, grade_signal",2,signal
whole cashews,cashew,grade_signal,1,signal
garlic powder,garlic,"canonical_form, form_signal",2,signal
ginger powder,ginger,"canonical_form, form_signal",2,signal
glucose syrup,corn | tapioca,"form_signal, multi_source",2,signal
maltose syrup,corn | rice,"form_signal, multi_source",2,signal
refined flour,wheat,"form_signal, process_signal",2,signal
amchur powder,mango,"transliteration_signal, form_signal",2,signal
millet flakes,millet,"canonical_form, form_signal",2,signal
little millet,millet,"canonical_form, grade_signal",2,signal
finger millet,millet,"canonical_form, grade_signal",2,signal
rice bran oil,rice,"canonical_form, form_signal",2,signal
soya granules,soybean,"out_of_scope, form_signal",2,mixed
defatted soya,soybean,"orthographic_noise, process_signal",2,mixed
soya bean oil,soybean,"orthographic_noise, form_signal",2,mixed
refined sugar,sugarcane,"orthographic_noise, form_signal, process_signal",3,mixed
coconut sugar,coconut,"canonical_form, form_signal",2,signal
sunflower oil,sunflower,"canonical_form, form_signal",2,signal
wafer biscuit,wheat,form_signal,1,signal
almond pieces,almond,"orthographic_noise, canonical_form, grade_signal",3,mixed
whole almonds,almond,grade_signal,1,signal
orange powder,orange,"canonical_form, form_signal",2,signal
fennel powder,fennel,"canonical_form, form_signal",2,signal
yeast extract,yeast,"canonical_form, form_signal, grade_signal",3,signal
whey proteins,milk,"orthographic_noise, form_signal",2,mixed
whey peptides,milk,form_signal,1,signal
latic culture,lactobacillus,form_signal,1,signal
ajwair powder,ajwain,form_signal,1,signal
bishop's seed,ajwain,"orthographic_noise, form_signal, grade_signal",3,mixed
bishop's weed,ajwain,orthographic_noise,1,noise
apricot juice,apricot,"canonical_form, form_signal",2,signal
arabica beans,coffee,"form_signal, grade_signal",2,signal
robusta beans,coffee,"form_signal, grade_signal",2,signal
baking powder,synthetic,form_signal,1,signal
banana powder,banana,"canonical_form, form_signal",2,signal
malted barley,barley,"canonical_form, process_signal",2,signal
tulsi extract,tulsi,"transliteration_signal, canonical_form, form_signal",3,signal
krishna tulsi,tulsi,"transliteration_signal, canonical_form",2,signal
cassia leaves,cassia,"canonical_form, form_signal, grade_signal",3,signal
pepper powder,pepper,"canonical_form, form_signal",2,signal
paneer cheese,milk,"transliteration_signal, form_signal",2,signal
cheese powder,milk,form_signal,1,signal
chilli powder,chilli,"canonical_form, form_signal",2,signal
chilli flakes,chilli,"canonical_form, form_signal",2,signal
green chilies,chilli,"orthographic_noise, grade_signal",2,mixed
mild jalapeño,jalapeño,"linguistic_signal, canonical_form, grade_signal",3,signal
yellow chilli,chilli,"canonical_form, grade_signal",2,signal
cinnamon bark,cinnamon,"canonical_form, form_signal",2,signal
clover powder,clover,"canonical_form, form_signal",2,signal
cloves powder,clove,"orthographic_noise, form_signal",2,mixed
cacao en pâte,cocoa,linguistic_signal,1,signal
shveta jiraka,cumin,transliteration_signal,1,signal
cumin extract,cumin,"orthographic_noise, canonical_form, form_signal",3,mixed
yogurt powder,milk,"orthographic_noise, redundant_variant, form_signal",3,mixed
wheat dextrin,wheat,"canonical_form, form_signal",2,signal
mineral salts,mineral,"redundant_variant, canonical_form, fortification_signal",3,mixed
cardamom seed,cardamom,"canonical_form, form_signal, grade_signal",3,signal
greengram dal,greengram,"canonical_form, form_signal",2,signal
groundnut oil,groundnut,"canonical_form, form_signal",2,signal
blossom honey,honey,"canonical_form, form_signal, grade_signal",3,signal
alkaline salt,mineral,"form_signal, grade_signal",2,signal
black lentils,lentil,grade_signal,1,signal
milk products,milk,"canonical_form, form_signal",2,signal
dairy product,milk,grade_signal,1,signal
rennet casein,milk,form_signal,1,signal
mineral salts,mineral,"redundant_variant, canonical_form, fortification_signal",3,mixed
mustard seeds,mustard,"canonical_form, form_signal, grade_signal",3,signal
mustard whole,mustard,"canonical_form, grade_signal",2,signal
nutmeg powder,nutmeg,"canonical_form, form_signal",2,signal
dried oregano,oregano,"canonical_form, process_signal",2,signal
passion fruit,passion fruit,canonical_form,1,signal
potato flakes,potato,"canonical_form, form_signal",2,signal
potato powder,potato,"canonical_form, form_signal",2,signal
potato sticks,potato,"canonical_form, form_signal",2,signal
pumpkin seeds,pumpkin,"canonical_form, form_signal, grade_signal",3,signal
puffed quinoa,quinoa,"canonical_form, process_signal, grade_signal",3,signal
rice crispies,rice,"canonical_form, form_signal",2,signal
spinach paste,spinach,"canonical_form, form_signal",2,signal
spinach puree,spinach,"linguistic_signal, canonical_form, form_signal",3,signal
tamarind pulp,tamarind,"canonical_form, grade_signal",2,signal
tomato powder,tomato,"canonical_form, form_signal",2,signal
french tomato,tomato,"canonical_form, grade_signal",2,signal
treated water,water,"canonical_form, form_signal, process_signal",3,signal
ethyl alcohol,sugarcane | corn,multi_source,1,signal
psyllium husk,psyllium,"canonical_form, form_signal",2,signal
hemicellulase,aspergillus niger,canonical_form,1,signal
yogurt powder,milk,"orthographic_noise, redundant_variant, form_signal",3,mixed
mackerel fish,mackerel,"canonical_form, grade_signal",2,signal
cod liver oil,cod,"canonical_form, form_signal",2,signal
vegetable fats,palm | soybean | groundnut,"orthographic_noise, form_signal, multi_source",3,mixed
vegetable oils,palm | soybean | sunflower | groundnut,"orthographic_noise, form_signal, multi_source",3,mixed
grated carrots,carrot,process_signal,1,signal
caramel powder,sugarcane,form_signal,1,signal
cultured cream,milk,"form_signal, process_signal",2,signal
ginger extract,ginger,"canonical_form, form_signal",2,signal
liquid glucose,corn | tapioca,multi_source,1,signal
hazelnut paste,hazelnut,"canonical_form, form_signal, grade_signal",3,signal
haselnusspaste,hazelnut,canonical_form,1,signal
alphonso mango,mango,"canonical_form, grade_signal",2,signal
foxtail millet,millet,"canonical_form, grade_signal",2,signal
barnyard flour,barnyard millet,form_signal,1,signal
pistachio nuts,pistachio,"canonical_form, form_signal, grade_signal",3,signal
powdered sugar,sugarcane,"form_signal, process_signal",2,signal
refined sugars,sugarcane,"orthographic_noise, process_signal",2,mixed
jaggery powder,sugarcane,form_signal,1,signal
glucose powder,corn | tapioca,"form_signal, multi_source",2,signal
urad dal flour,black gram,"orthographic_noise, transliteration_signal, form_signal",3,mixed
udad dal flour,black gram,"orthographic_noise, form_signal",2,mixed
black gram dal,black gram,"form_signal, grade_signal",2,signal
wheat crispies,wheat,"canonical_form, form_signal",2,signal
almonds pieces,almond,"orthographic_noise, grade_signal",2,mixed
acid regulator,synthetic | corn,multi_source,1,signal
coriander seed,coriander,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
orange extract,orange,"canonical_form, form_signal",2,signal
tumeric powder,turmeric,"orthographic_noise, form_signal",2,mixed
turmeric whole,turmeric,"canonical_form, grade_signal",2,signal
snf toned milk,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
active culture,lactobacillus | streptococcus,"form_signal, multi_source",2,signal
s thermophilus,streptococcus thermophilus,orthographic_noise,1,noise
s.thermophilus,streptococcus thermophilus,"orthographic_noise, canonical_form",2,mixed
aloe vera bits,aloe vera,grade_signal,1,signal
aniseed powder,anise,form_signal,1,signal
instant coffee,coffee,"canonical_form, process_signal",2,signal
soluble coffee,coffee,"canonical_form, process_signal",2,signal
coffee extract,coffee,"canonical_form, form_signal",2,signal
chickpea flour,chickpea,"orthographic_noise, canonical_form, form_signal",3,mixed
split chickpea,chickpea,"orthographic_noise, canonical_form, grade_signal",3,mixed
black cardamom,cardamom,"canonical_form, grade_signal",2,signal
brown cardamom,cardamom,"canonical_form, grade_signal",2,signal
large cardamom,cardamom,"canonical_form, grade_signal",2,signal
cooking butter,milk,form_signal,1,signal
cereal extract,wheat | rice | corn,"form_signal, multi_source",2,signal
cottage cheese,milk,"form_signal, grade_signal",2,signal
cheddar cheese,milk,form_signal,1,signal
paneer protein,milk,"transliteration_signal, form_signal",2,signal
dry red chilli,chilli,"canonical_form, process_signal, grade_signal",3,signal
green chillies,chilli,"orthographic_noise, grade_signal",2,mixed
chilli extract,chilli,"canonical_form, form_signal",2,signal
cinnamon whole,cinnamon,"canonical_form, grade_signal",2,signal
pasta di cacao,cocoa,linguistic_signal,1,signal
coconut powder,coconut,"canonical_form, form_signal",2,signal
grated coconut,coconut,"canonical_form, process_signal",2,signal
condensed milk,milk,"canonical_form, form_signal, process_signal",3,signal
cottonseed oil,cottonseed,"canonical_form, form_signal",2,signal
cranberry pulp,cranberry,"canonical_form, grade_signal",2,signal
cucumber seeds,cucumber,"canonical_form, form_signal, grade_signal",3,signal
yoghurt powder,milk,"orthographic_noise, redundant_variant, form_signal",3,mixed
dairy whitener,milk,"form_signal, grade_signal",2,signal
flour improver,synthetic,form_signal,1,signal
green cardamom,cardamom,"canonical_form, grade_signal",2,signal
cardamom whole,cardamom,"canonical_form, grade_signal",2,signal
small cardamom,cardamom,"canonical_form, grade_signal",2,signal
moon dal flour,green gram,form_signal,1,signal
lentil protein,lentil,"canonical_form, form_signal",2,signal
moth dal flour,moth bean,"form_signal, grade_signal",2,signal
mustard leaves,mustard,"canonical_form, form_signal, grade_signal",3,signal
organic nutmeg,nutmeg,"canonical_form, process_signal",2,signal
parsley leaves,parsley,"canonical_form, form_signal, grade_signal",3,signal
sherwan pepper,pepper,canonical_form,1,signal
split red gram,pigeon pea,grade_signal,1,signal
red gram split,pigeon pea,"orthographic_noise, grade_signal",2,mixed
redgram splits,pigeon pea,orthographic_noise,1,noise
pineapple pulp,pineapple,"canonical_form, grade_signal",2,signal
wheat semolina,wheat,"canonical_form, form_signal",2,signal
spinach powder,spinach,"canonical_form, form_signal",2,signal
tapioca starch,tapioca,"canonical_form, form_signal",2,signal
vanila extract,vanilla,"orthographic_noise, form_signal",2,mixed
vanilleschoten,vanilla,"linguistic_signal, canonical_form",2,signal
filtered water,water,"canonical_form, form_signal, process_signal",3,signal
resultant atta,wheat,"transliteration_signal, process_signal",2,signal
basa pangasius,fish,grade_signal,1,signal
bovine gelatin,beef,"form_signal, grade_signal",2,signal
dried bok choy,bok choy,process_signal,1,signal
hadjod extract,hadjod,"canonical_form, form_signal",2,signal
jackfruit pulp,jackfruit,"canonical_form, grade_signal",2,signal
yellow pumpkin,pumpkin,"canonical_form, grade_signal",2,signal
macaroni pasta,wheat,"out_of_scope, linguistic_signal",2,mixed
walnut inshell,walnut,"canonical_form, grade_signal",2,signal
water caltrope,water caltrop,"canonical_form, form_signal",2,signal
yoghurt powder,milk,"orthographic_noise, redundant_variant, form_signal",3,mixed
palm kernel oil,palm,"canonical_form, form_signal, grade_signal",3,signal
palm kernel fat,palm,"canonical_form, form_signal, grade_signal",3,signal
palm superolein,palm,canonical_form,1,signal
sodium chloride,mineral,"form_signal, grade_signal",2,signal
modified starch,corn | tapioca | potato,"form_signal, process_signal, multi_source",3,signal
hazelnut pieces,hazelnut,"canonical_form, grade_signal",2,signal
vollmilchpulver,milk,canonical_form,1,signal
full cream milk,milk,"canonical_form, form_signal, grade_signal",3,signal
mint flavouring,mint,"canonical_form, form_signal",2,signal
sweetener 960 a,stevia,compound_noise,1,noise
strawberry pulp,strawberry,"canonical_form, grade_signal",2,signal
sprinkled sugar,sugarcane,form_signal,1,signal
sugarcane juice,sugarcane,"canonical_form, form_signal",2,signal
fructose powder,sugarcane | corn,"form_signal, multi_source",2,signal
roasted almonds,almond,process_signal,1,signal
fenugreek seeds,fenugreek,"canonical_form, form_signal, grade_signal",3,signal
coriander seeds,coriander,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
coriander whole,coriander,"canonical_form, grade_signal",2,signal
coriander puree,coriander,"linguistic_signal, canonical_form, form_signal",3,signal
turmeric powder,turmeric,"orthographic_noise, canonical_form, form_signal",3,mixed
turmeris powder,turmeric,"orthographic_noise, form_signal",2,mixed
saffron threads,saffron,canonical_form,1,signal
dehydrated peas,peas,"canonical_form, process_signal",2,signal
a2 cow milk fat,milk,"canonical_form, form_signal, grade_signal",3,signal
aloe vera juice,aloe vera,form_signal,1,signal
apricot kernels,apricot,"canonical_form, form_signal",2,signal
bengal gram dal,bengal gram,"form_signal, grade_signal",2,signal
chickpeas flour,chickpea,"orthographic_noise, form_signal",2,mixed
assam black tea,tea plant,grade_signal,1,signal
kashmiri chilli,chilli,"canonical_form, grade_signal",2,signal
red chilli bits,chilli,"canonical_form, grade_signal",2,signal
cinnamon leaves,cinnamon,"canonical_form, form_signal, grade_signal",3,signal
cinnamon powder,cinnamon,"canonical_form, form_signal",2,signal
improver enzyme,synthetic,form_signal,1,signal
cardamom powder,cardamom,"canonical_form, form_signal",2,signal
split moong dal,mung bean,"transliteration_signal, form_signal, grade_signal",3,signal
split mung bean,mung bean,grade_signal,1,signal
moong dal flour,mung bean,"transliteration_signal, form_signal",2,signal
hyaluronic acid,synthetic,unclassified,1,unclassified
carrier lactose,milk,form_signal,1,signal
lime flavouring,lime,"canonical_form, form_signal",2,signal
milk components,milk,"canonical_form, form_signal",2,signal
milk flavouring,milk,"canonical_form, form_signal",2,signal
micellar casein,milk,form_signal,1,signal
moringa extract,moringa,"canonical_form, form_signal",2,signal
moth bean flour,moth bean,"form_signal, grade_signal",2,signal
dew beans flour,dew bean,"form_signal, grade_signal",2,signal
husked dew gram,dew bean,grade_signal,1,signal
oyster mushroom,mushroom,canonical_form,1,signal
schezwan pepper,schezwan pepper,canonical_form,1,signal
pineapple juice,pineapple,"canonical_form, form_signal",2,signal
anardana powder,pomegranate,"transliteration_signal, form_signal",2,signal
red rice flakes,red rice,"form_signal, grade_signal",2,signal
rose flavouring,rose,"canonical_form, form_signal",2,signal
roasted seaweed,seaweed,"canonical_form, process_signal",2,signal
stinging nettle,stinging nettle,canonical_form,1,signal
sunflower seeds,sunflower,"canonical_form, form_signal, grade_signal",3,signal
tamarind powder,tamarind,"canonical_form, form_signal",2,signal
triphala powder,amla | bibhitaki | haritaki,"form_signal, multi_source",2,signal
vanilla extract,vanilla,"orthographic_noise, canonical_form, form_signal",3,mixed
buckwheat flour,buckwheat,"canonical_form, form_signal",2,signal
psyllium powder,psyllium,"canonical_form, form_signal",2,signal
guduchi extract,guduchi,"canonical_form, form_signal",2,signal
precooked pasta,wheat,linguistic_signal,1,signal
salmon fish oil,salmon,"canonical_form, form_signal, grade_signal",3,signal
refined palm oil,palm,"canonical_form, form_signal, process_signal",3,signal
fractionated fat,palm,"form_signal, process_signal",2,signal
wet dates zahldi,date,grade_signal,1,signal
nocciole turchia,hazelnut,linguistic_signal,1,signal
magnesium malate,synthetic | apple,"grade_signal, multi_source",2,signal
fine wheat flour,wheat,"canonical_form, form_signal, grade_signal",3,signal
wheat flour iron,wheat,"canonical_form, form_signal, fortification_signal",3,signal
dry mango powder,mango,"canonical_form, form_signal, process_signal",3,signal
mango flavouring,mango,"canonical_form, form_signal",2,signal
dried whole milk,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
magermilchpulver,milk,linguistic_signal,1,signal
mint leaf powder,mint,"canonical_form, form_signal, grade_signal",3,signal
pistachio pieces,pistachio,"canonical_form, grade_signal",2,signal
pista flavouring,pistachio,"transliteration_signal, form_signal",2,signal
refined soya oil,soybean,"form_signal, process_signal",2,signal
strawberry fruit,strawberry,canonical_form,1,signal
strawberry puree,strawberry,"linguistic_signal, canonical_form, form_signal",3,signal
strawberry juice,strawberry,"canonical_form, form_signal",2,signal
granulated sugar,sugarcane,form_signal,1,signal
split black gram,black gram,grade_signal,1,signal
sunflower gluten,sunflower,"canonical_form, form_signal",2,signal
flax seed powder,flax,"canonical_form, form_signal, grade_signal",3,signal
badam flavouring,almond,"transliteration_signal, form_signal",2,signal
fenugreek leaves,fenugreek,"canonical_form, form_signal, grade_signal",3,signal
fenugreek powder,fenugreek,"canonical_form, form_signal",2,signal
coriander powder,coriander,"orthographic_noise, canonical_form, form_signal",3,mixed
coriander leaves,coriander,"canonical_form, form_signal, grade_signal",3,signal
coniander powder,coriander,"orthographic_noise, form_signal",2,mixed
kesar flavouring,saffron,"transliteration_signal, form_signal, grade_signal",3,signal
calcium silicate,mineral,"grade_signal, fortification_signal",2,signal
apple flavouring,apple,"canonical_form, form_signal",2,signal
arrowroot powder,arrowroot,"canonical_form, form_signal",2,signal
chick peas flour,chickpea,"orthographic_noise, form_signal",2,mixed
split chick peas,chickpea,"orthographic_noise, grade_signal",2,mixed
black tea leaves,tea,"canonical_form, form_signal, grade_signal",3,signal
assam tea leaves,tea,"canonical_form, form_signal, grade_signal",3,signal
butter from milk,milk,"canonical_form, form_signal",2,signal
microbial rennet,synthetic,"form_signal, grade_signal",2,signal
pasteurized milk,milk,"canonical_form, form_signal, process_signal",3,signal
processed cheese,milk,"form_signal, process_signal",2,signal
red chili powder,chili,"canonical_form, form_signal, grade_signal",3,signal
red chilli whole,chili,grade_signal,1,signal
egg white powder,egg,"canonical_form, form_signal, grade_signal",3,signal
ferrous sulphate,mineral,"form_signal, grade_signal",2,signal
clarified butter,milk,"form_signal, process_signal",2,signal
split green gram,green gram,grade_signal,1,signal
green tea leaves,tea,"canonical_form, form_signal, grade_signal",3,signal
guava flavouring,guava,"canonical_form, form_signal",2,signal
honey flavouring,honey,"canonical_form, form_signal",2,signal
jamun flavouring,jamun,"transliteration_signal, canonical_form, form_signal",3,signal
kewra flavouring,kewra,"canonical_form, form_signal",2,signal
lactobilus casei,milk,linguistic_signal,1,signal
lemon flavouring,lemon,"canonical_form, form_signal",2,signal
dairy flavouring,milk,"form_signal, grade_signal",2,signal
onion flavouring,onion,"canonical_form, form_signal",2,signal
dehydrated onion,onion,"canonical_form, process_signal",2,signal
potassium iodate,mineral,"orthographic_noise, grade_signal",2,mixed
potassium iodide,mineral,"orthographic_noise, grade_signal",2,mixed
gulab flavouring,rose,form_signal,1,signal
